Image_Name,Image_Size,Is_Cubic,Euclidean_Error fp16
2024-07-11_14-13-51,320*240,Yes,27.3674
2024-07-10_15-38-54,320*240,Yes,36.5981
2024-07-10_15-50-55,320*240,Yes,38.3314
2024-07-11_14-15-08,320*240,Yes,32.4354
2024-07-11_14-12-14,320*240,Yes,28.2603
2024-07-10_15-52-36,320*240,Yes,47.8836
2024-07-10_15-51-48,320*240,Yes,27.2015
2024-07-11_14-17-18,320*240,Yes,40.7044
2024-07-11_14-10-53,320*240,Yes,30.997
2024-07-10_15-51-21,320*240,Yes,35.9478
2024-07-11_14-19-12,320*240,Yes,48.0351
2024-07-11_14-18-28,320*240,Yes,41.2209
2024-07-11_14-17-59,320*240,Yes,47.0281
2024-07-11_14-03-31,320*240,Yes,37.5253
2024-07-10_15-54-07,320*240,Yes,44.4422
2024-07-10_15-43-56,320*240,Yes,24.3223
2024-07-10_15-52-37,320*240,Yes,33.727
2024-07-11_14-16-32,320*240,Yes,32.613
2024-07-10_15-41-46,320*240,Yes,33.3125
2024-07-10_15-43-03,320*240,Yes,43.8427
2024-07-10_15-40-03,320*240,Yes,27.6267
2024-07-10_15-51-45,320*240,Yes,32.3168
2024-07-10_15-40-53,320*240,Yes,53.8524
2024-07-11_14-13-12,320*240,Yes,32.2208
2024-07-11_14-06-07,320*240,Yes,82.6287
2024-07-11_14-14-24,320*240,Yes,50.4187
2024-07-10_15-44-58,320*240,Yes,29.7282
2024-07-11_14-02-35,320*240,Yes,23.6944
2024-07-10_15-53-12,320*240,Yes,34.9834
2024-07-10_15-48-15,320*240,Yes,36.5178
2024-07-11_14-05-35,320*240,Yes,33.3312
2024-07-11_14-04-22,320*240,Yes,36.2687

fp32
2024-07-11_14-13-51,320*240,Yes,27.2441
2024-07-10_15-38-54,320*240,Yes,35.9089
2024-07-10_15-50-55,320*240,Yes,37.224
2024-07-11_14-15-08,320*240,Yes,41.5679
2024-07-11_14-12-14,320*240,Yes,30.6466
2024-07-10_15-52-36,320*240,Yes,46.9076
2024-07-10_15-51-48,320*240,Yes,36.3481
2024-07-11_14-17-18,320*240,Yes,50.1794
2024-07-11_14-10-53,320*240,Yes,31.0445
2024-07-10_15-51-21,320*240,Yes,42.9563
2024-07-11_14-19-12,320*240,Yes,37.1371
2024-07-11_14-18-28,320*240,Yes,51.3696
2024-07-11_14-17-59,320*240,Yes,36.0596
2024-07-11_14-03-31,320*240,Yes,47.9321
2024-07-10_15-54-07,320*240,Yes,24.0898
2024-07-10_15-43-56,320*240,Yes,23.9331
2024-07-10_15-52-37,320*240,Yes,34.3968
2024-07-11_14-16-32,320*240,Yes,30.3972
2024-07-10_15-41-46,320*240,Yes,36.5001
2024-07-10_15-43-03,320*240,Yes,34.3441
2024-07-10_15-40-03,320*240,Yes,30.3805
2024-07-10_15-51-45,320*240,Yes,30.6596
2024-07-10_15-40-53,320*240,Yes,46.6812
2024-07-11_14-13-12,320*240,Yes,26.7975
2024-07-11_14-06-07,320*240,Yes,81.5323
2024-07-11_14-14-24,320*240,Yes,48.451
2024-07-10_15-44-58,320*240,Yes,32.216
2024-07-11_14-02-35,320*240,Yes,24.5681
2024-07-10_15-53-12,320*240,Yes,27.5274
2024-07-10_15-48-15,320*240,Yes,36.5173
2024-07-11_14-05-35,320*240,Yes,32.0918
2024-07-11_14-04-22,320*240,Yes,37.2381
